id,business_id,business_name,address,region,district,town,status,phone,data_source
cf_1767420397595_lmv5tinae,,더예쁜얼굴,"""광주광역시 광산구 수등로258번길 4-6",광주,광주광역시,광산구,영업,"1층 101호 (신가동)""",csv_upload
cf_1767420397591_ri9n531z7,,ARA,"""광주광역시 남구 봉선로 77",광주,광주광역시,남구,영업,"3층 (봉선동)""",csv_upload
cf_1767420397591_aycq18scb,,여우스킨&왁싱,"""광주광역시 남구 봉선로 83",광주,광주광역시,남구,영업,"3층 (주월동)""",csv_upload
cf_1767420397590_vufslhn14,,향기피부관리샵,"""광주광역시 남구 용대로 179-1",광주,광주광역시,남구,영업,"2층 (방림동)""",csv_upload
cf_1767420397590_g332bw9rs,,에코,"""광주광역시 남구 진다리로 47",광주,광주광역시,남구,영업,"1층 (백운동)""",csv_upload
cf_1767420397588_2bogrc21f,,에벤에셀,"""광주광역시 남구 회재로 1235 (주월동",광주,광주광역시,남구,영업,"(1층))""",csv_upload
cf_1767420397588_vrkgdh90z,,이너벨라(금호점),"""광주광역시 서구 풍금로 171 (금호동",광주,광주광역시,서구,영업,"(6층))""",csv_upload
cf_1767420397586_s0n57hr50,,김화영스킨케어,"""광주광역시 남구 월산로 5-1",광주,광주광역시,남구,영업,"1층 (백운동)""",csv_upload
cf_1767420397585_ucl3oy4qd,,광주두드림힐링,"""광주광역시 서구 화정로 16",광주,광주광역시,서구,영업,"1층 (쌍촌동)""",csv_upload
cf_1767420397584_66msxyd1x,,슬림핏 에스테틱,"""광주광역시 남구 화산로31번길 23",광주,광주광역시,남구,영업,"1층 (진월동)""",csv_upload
cf_1767420397278_ui1m551fw,,피부나라,"""광주광역시 서구 발산로 37",광주,광주광역시,서구,영업,"2층 (양동)""",csv_upload
cf_1767420397277_dtif1d4nf,,도도한 속눈썹,"""광주광역시 남구 광복마을길 63","광명아파트)""",,광주광역시,광복마을길,상가동 1층 101호 (진월동,csv_upload
cf_1767420397276_nucdpsuyd,,J스킨앤바디,"""광주광역시 남구 광복마을길 43","한신2차아파트)""",,광주광역시,광복마을길,상가동 202호 (진월동,csv_upload
cf_1767420397276_rtrlduxhu,,그린 아로마,"""광주광역시 서구 상무연하로 60 (치평동",광주,광주광역시,서구,영업,"(4층))""",csv_upload
cf_1767420397275_770py24wl,,행복한피부,"""광주광역시 남구 서문대로663번길 8",광주,광주광역시,남구,영업,"1층 (진월동)""",csv_upload
cf_1767420397274_f0wqrm9w0,,약손명가 에스테틱 광주봉선점,"""광주광역시 남구 봉선로 205",광주,광주광역시,남구,영업,"2층 (봉선동)""",csv_upload
cf_1767420397273_xy78u2481,,오라클피부관리,"""광주광역시 남구 대남대로159번길 31","라인하이츠)""",,광주광역시,대남대로159번길,상가동 2층 202호 (봉선동,csv_upload
cf_1767420397272_48mb9j9sj,,피부애,"""광주광역시 남구 회재로1186번길 23",광주,광주광역시,남구,영업,"호반빌딩 3층 (주월동)""",csv_upload
cf_1767420397271_e3vqcau6b,,진앤미에스테틱,"""광주광역시 남구 봉선2로 96-14","무등2차아파트)""",,광주광역시,봉선2로,상기동 2층 306호 (봉선동,csv_upload
cf_1767420397270_lsujg44d2,,백운스포츠관리샵,"""광주광역시 남구 독립로10번길 26-4",광주,광주광역시,남구,영업,"2층 (백운동)""",csv_upload
cf_1767420396951_7u0ivzchs,,피부힐링순,"""광주광역시 남구 봉주길 19-1",광주,광주광역시,남구,영업,"1층 (주월동)""",csv_upload
cf_1767420396949_qjfpi32dj,,조서현피부이야기,"""광주광역시 남구 회재로1186번길 29",광주,광주광역시,남구,영업,"28동 1층 104호 (주월동)""",csv_upload
cf_1767420396947_s1myyidl5,,주온스킨앤체형,"""광주광역시 남구 광복마을4길 9",광주,광주광역시,남구,영업,"한신1차아파트 상가동 2층 204호 (진월동)""",csv_upload
cf_1767420396945_wwmne6m81,,준테라피,"""광주광역시 남구 효우로 87",광주,광주광역시,남구,영업,"6층 601호 (노대동)""",csv_upload
cf_1767420396944_lhsdmmpfl,,단미·루근뇌에스테틱,"""광주광역시 남구 봉선로 205 (봉선동",광주,광주광역시,남구,영업,"203호)""",csv_upload
cf_1767420396943_ibznops51,,예쁜피부,"""광주광역시 남구 용대로53번길 2-14",광주,광주광역시,남구,영업,"2층 (봉선동)""",csv_upload
cf_1767420396941_ubzxl16p5,,연아 피부,"""광주광역시 남구 봉선중앙로47번길 10",광주,광주광역시,남구,영업,"3층 301호 (봉선동)""",csv_upload
cf_1767420396941_ll83i7r7g,,미인본가,"""광주광역시 남구 금화로446번길 28",광주,광주광역시,남구,영업,"강산빌라 1층 (월산동)""",csv_upload
cf_1767420396937_o6btctr0u,,(주)명인,"""광주광역시 서구 금화로 96 (금호동",광주,광주광역시,서구,영업,"(7층))""",csv_upload
cf_1767420396936_4jp7slqe5,,궁스킨케어,"""광주광역시 서구 화정로 130 (화정동",광주,광주광역시,서구,영업,"(영무메트로A동 203호))""",csv_upload
cf_1767420396617_znzudcvuc,,에스테틱 시뉴,"""광주광역시 서구 내방로241번길 5-5",광주,광주광역시,서구,영업,"5층 (쌍촌동)""",csv_upload
cf_1767420396617_c60ovrajw,,라쉼뷰티테라피,"""광주광역시 서구 금화로 283",광주,광주광역시,서구,영업,"4층 403호 (화정동)""",csv_upload
cf_1767420396616_quv2auhwd,,워너뷰티(WANNA BEAUTY),"""광주광역시 서구 염화로134번길 3",광주,광주광역시,서구,영업,"1층 (화정동)""",csv_upload
cf_1767420396616_tv89tagkr,,펄 스킨,"""광주광역시 서구 운천로 43","금호시영1단지 아파트)""",,광주광역시,운천로,상가동 2층 201호 (금호동,csv_upload
cf_1767420396615_elunq1ue3,,미령뷰티&왁싱,"""광주광역시 서구 내방로240번길 24",광주,광주광역시,서구,영업,"1층 (쌍촌동)""",csv_upload
