business_name,address,phone,region,district,town,open_date,status
뷰티나,"경기도 남양주시 다산중앙로20번길 10-80, 1층 (다산동)",,경기도,남양주시,다산중앙로20번길,,active
에스테틱798,"경상남도 거제시 수양1길 112, 주2동 2층 (수월동)",,경상남도,거제시,수양1길,,active
바비 스킨&바디(Barbie Skin&Body),"경기도 수원시 영통구 에듀타운로 101, 에듀하임1309오피스텔 105동 지1층 B106호 (이의동)",,경기도,수원시,영통구,,active
벨르뮤 세종점 눈썹&속눈썹펌,"세종특별자치시 만남로 146, 삼성프라자 1동 4층 403호 (고운동)",,세종특별자치시,만남로,"146,",,active
아이퀸에스테틱,"충청남도 천안시 서북구 성정공원5로 45, 3층 (성정동)",,충청남도,천안시,서북구,,active
블랙스컬프(BLACK SCALP),"경기도 성남시 분당구 성남대로 449, 1층 114호 (정자동, 로얄팰리스)",,경기도,성남시,분당구,,active
생체전기모든통증완화센터,"서울특별시 영등포구 디지털로37길 27, 2층 (대림동)",,서울특별시,영등포구,디지털로37길,,active
쪼 뷰티(JJO Beauty),"경기도 광주시 경안로41번길 6, 1층 C137호 (경안동, 경기광주역 금호리첸시아)",,경기도,광주시,경안로41번길,,active
묘수 발란스 테라피,"대구광역시 중구 국채보상로 451-2, 1층 (대신동)",,대구광역시,중구,국채보상로,,active
"에스테틱,매일 크리스마스","경상남도 창원시 마산회원구 봉양로 41, 203호 일부호 (양덕동)",,경상남도,창원시,마산회원구,,active
니앙스 스파,"서울특별시 강남구 논현로 734, 지하3층 일부호 (논현동)",,서울특별시,강남구,논현로,,active
헤드스파서울(Headspa Seoul),"서울특별시 마포구 동교로46길 42-9, 2층 202(일부)호 (연남동)",,서울특별시,마포구,동교로46길,,active
더빛나다 스킨앤바디,"경상남도 김해시 활천로36번길 55, 2층 (삼정동)",,경상남도,김해시,활천로36번길,,active
미가인,"대구광역시 수성구 청수로4길 19, 2층 (중동)",,대구광역시,수성구,청수로4길,,active
홍스뷰티,"경기도 부천시 원미구 석천로44번길 28, 1층 일부 (상동)",,경기도,부천시,원미구,,active
루베르뷰티,"강원특별자치도 원주시 남원로 441-15, 현진에버빌3차 상가동 1층 104호 (명륜동)",,강원특별자치도,원주시,남원로,,active
피부샵,"경기도 안양시 동안구 비산로 57, 안양임곡휴먼시아 가상가동 가상가동 201호 (비산동)",,경기도,안양시,동안구,,active
아이(I) 뷰티샾,"경상남도 창원시 성산구 용지로 64, 덕산그린피아 1층 108호, 109호 (중앙동)",,경상남도,창원시,성산구,,active
미모,"서울특별시 노원구 상계로1길 54-3, 2층 일부호 (상계동)",,서울특별시,노원구,상계로1길,,active
"너,다움","충청남도 서산시 호수공원11로 24, 1층 102호 (예천동)",,충청남도,서산시,호수공원11로,,active
이서은 에스테틱,"경상남도 고성군 고성읍 성내로135번길 16, 1층",,경상남도,고성군,고성읍,,active
알레스하임 폰타나 에스테틱,"서울특별시 영등포구 도신로60길 2, 미주 메디컬 빌딩 9층 (신길동)",,서울특별시,영등포구,도신로60길,,active
뮤스킨,"강원특별자치도 강릉시 하평6길 59, 1층 (포남동)",,강원특별자치도,강릉시,하평6길,,active
올가드림뷰티,"경기도 성남시 중원구 시민로 66, 지1층 B212호 (중앙동, 중앙동힐스테이트2차)",,경기도,성남시,중원구,,active
프라우딘,"충청남도 아산시 탕정면 탕정면로 54-8, 3층 302호",,충청남도,아산시,탕정면,,active
"더,빛나다","인천광역시 연수구 해돋이로120번길 16, 상가동 115일부호 (송도동, 송도풍림아이원2단지아파트)",,인천광역시,연수구,해돋이로120번길,,active
